深度/m	杨氏模量/Gpa	泊松比	断裂韧性/MPa·m^0.5	水平应力差/Mpa	垂向应力差/Mpa
189.7	17	0.11	0.78	6.8	16.1
189.8	38	0.39	1.43	5.4	18.4
189.9	16	0.321	1.22	8.1	15.8
190.0	28	0.138	0.8	7.1	18.6
190.1	12	0.344	0.38	7.1	10.0
190.2	26	0.171	0.24	9.4	13.7
190.3	24	0.33	0.79	7.8	18.4
190.4	11	0.276	0.39	6.4	10.3
190.5	36	0.185	0.24	5.8	19.4
190.6	12	0.179	1.39	8.0	11.9
190.7	30	0.136	0.49	7.9	15.4
190.8	31	0.375	1.1	5.8	15.8
190.9	35	0.364	0.04	6.7	18.1
191.0	15	0.284	0.15	6.0	12.1
191.1	21	0.358	0.28	6.6	14.0
191.2	39	0.236	1.35	5.0	17.4
191.3	22	0.291	0.93	9.9	12.1
191.4	13	0.353	0.86	9.0	16.6
191.5	39	0.255	1.07	5.2	15.0
191.6	13	0.136	1.36	7.5	11.6
191.7	23	0.272	0.04	8.0	16.6
191.8	16	0.29	1.1	7.3	16.7
191.9	19	0.379	0.76	5.2	19.1
192.0	29	0.199	0.18	5.9	11.5
192.1	10	0.217	0.35	7.4	13.6
192.2	28	0.366	0.55	9.7	15.6
192.3	18	0.309	0.86	8.9	12.3
192.4	35	0.263	0.88	9.2	13.6
192.5	36	0.111	1.42	9.6	17.2
192.6	13	0.388	1.2	8.4	14.5
192.7	17	0.381	0.35	9.0	20.0
192.8	35	0.245	1.0	7.9	12.1
192.9	29	0.312	0.59	6.0	12.0
193.0	22	0.285	0.19	9.5	16.0
193.1	36	0.289	0.76	5.6	14.8
193.2	31	0.224	0.94	7.3	15.3
193.3	29	0.158	1.1	9.5	12.1
193.4	27	0.33	1.1	5.5	10.7
193.5	38	0.259	0.45	9.2	17.5
193.6	20	0.391	0.6	7.1	11.9
193.7	32	0.286	0.44	5.2	15.2
193.8	34	0.281	1.37	10.0	18.7
193.9	36	0.223	0.41	5.1	15.2
194.0	21	0.297	1.01	5.6	14.3
194.1	15	0.182	1.32	9.7	13.0
194.2	40	0.363	0.17	7.0	18.9
194.3	26	0.215	1.37	5.4	18.4
194.4	19	0.369	0.57	9.0	12.8
194.5	36	0.215	0.38	8.9	14.5
194.6	17	0.236	1.32	5.3	18.1
194.7	20	0.21	1.3	8.6	11.7
194.8	33	0.192	0.79	7.3	11.9
194.9	36	0.39	0.08	6.9	15.6
195.0	36	0.347	0.72	5.3	13.6
195.1	12	0.261	1.32	7.6	14.7
195.2	38	0.139	0.74	6.8	19.4
195.3	23	0.389	0.51	8.2	14.0
195.4	39	0.378	0.61	8.7	18.2
195.5	11	0.175	0.58	6.8	12.0
195.6	20	0.292	0.65	7.0	10.4
195.7	14	0.262	1.17	7.5	17.7
195.8	22	0.353	0.18	9.1	13.6
195.9	26	0.275	0.18	9.0	10.8
196.0	19	0.105	0.57	6.9	13.3
196.1	17	0.164	0.18	7.7	13.4
196.2	29	0.381	0.98	8.6	16.1
196.3	33	0.272	1.08	9.3	16.2
196.4	10	0.152	0.06	6.9	16.3
196.5	35	0.19	0.22	5.4	17.6
196.6	40	0.353	1.32	7.8	10.7
196.7	31	0.121	0.59	6.6	17.2
196.8	22	0.377	0.64	8.5	10.8
196.9	10	0.131	0.61	7.2	18.2
197.0	18	0.132	1.21	7.7	19.8
197.1	29	0.387	1.06	5.8	11.6
197.2	27	0.315	0.77	6.7	18.8
197.3	36	0.326	0.1	8.5	19.2
197.4	26	0.394	0.6	6.7	13.3
197.5	21	0.176	0.01	8.7	17.4
197.6	17	0.123	0.43	7.3	19.6
197.7	30	0.344	0.68	6.8	12.9
197.8	15	0.198	0.76	5.1	11.4
197.9	17	0.274	1.45	8.9	19.9
198.0	21	0.367	0.41	5.9	18.7
198.1	23	0.159	1.12	8.8	10.4
198.2	36	0.352	0.06	7.8	11.5
198.3	39	0.377	0.74	5.7	13.5
198.4	10	0.243	0.46	8.0	18.2
198.5	34	0.367	0.59	8.0	15.2
198.6	17	0.172	0.16	8.8	16.6
198.7	23	0.267	1.09	9.0	17.0
198.8	39	0.118	0.28	6.4	19.4
198.9	27	0.327	0.19	6.4	17.2
199.0	34	0.393	1.07	7.5	14.5
199.1	25	0.312	1.43	8.2	10.9
199.2	28	0.316	0.37	9.2	11.3
199.3	27	0.285	1.18	8.2	12.1
199.4	38	0.14	1.38	5.6	12.0
199.5	24	0.359	0.48	8.8	19.6
199.6	13	0.222	1.27	7.7	17.3
199.7	10	0.195	1.43	6.1	14.3
199.8	19	0.38	0.57	9.9	13.5
199.9	40	0.204	1.23	7.6	11.2
200.0	20	0.198	0.62	9.2	12.6
200.1	30	0.353	1.02	6.0	11.3
200.2	12	0.325	1.37	8.2	12.5
200.3	10	0.319	0.4	5.1	19.6
200.4	19	0.228	0.49	9.9	15.4
200.5	27	0.364	1.09	5.4	15.7
200.6	37	0.227	0.18	9.6	17.9
200.7	11	0.199	1.07	7.6	17.8
200.8	25	0.285	1.47	5.6	15.8
200.9	27	0.236	0.84	7.7	12.7
201.0	25	0.339	1.1	7.5	11.7
201.1	14	0.251	0.64	5.7	11.4
201.2	19	0.369	0.0	9.8	19.9
201.3	26	0.328	0.84	5.3	19.9
201.4	10	0.111	1.34	6.1	18.1
201.5	13	0.118	0.98	5.8	12.8
201.6	38	0.205	1.17	9.2	18.3
201.7	39	0.246	1.12	7.4	19.8
201.8	40	0.1	0.4	8.8	11.3
201.9	21	0.333	0.77	6.2	13.2
202.0	18	0.345	0.86	9.8	10.1
202.1	24	0.243	1.26	5.5	16.0
202.2	14	0.283	0.39	6.2	19.0
202.3	19	0.106	1.15	6.0	11.0
202.4	14	0.178	1.2	10.0	19.6
202.5	13	0.266	0.09	5.5	11.7
202.6	12	0.173	0.18	5.8	11.3
202.7	37	0.164	0.92	8.1	13.1
202.8	24	0.208	0.94	9.9	10.8
202.9	18	0.388	0.51	8.6	11.8
203.0	31	0.266	1.25	9.1	12.1
203.1	20	0.328	0.15	8.9	17.0
203.2	27	0.176	0.9	8.8	14.3
203.3	22	0.253	0.46	7.3	12.8
203.4	32	0.362	0.47	7.5	17.0
203.5	17	0.23	1.16	7.2	13.6
203.6	20	0.115	0.04	6.8	18.7
203.7	12	0.189	0.35	7.4	14.3
203.8	32	0.316	1.29	5.4	13.8
203.9	14	0.332	1.2	7.0	17.4
204.0	19	0.236	1.06	8.2	15.9
204.1	24	0.378	0.66	7.4	16.7
204.2	38	0.102	1.0	8.7	14.2
204.3	39	0.346	0.24	8.9	14.5
204.4	33	0.235	1.24	6.9	11.7
204.5	23	0.205	0.69	7.3	14.8
204.6	34	0.212	1.2	7.6	18.1
204.7	34	0.386	1.44	8.3	10.6
204.8	33	0.101	0.86	6.2	12.1
204.9	27	0.39	0.79	5.0	19.0
205.0	16	0.179	1.08	9.3	15.5
205.1	15	0.207	0.43	8.2	18.9
205.2	33	0.211	0.81	5.0	13.0
205.3	26	0.195	0.52	7.3	17.1
205.4	16	0.136	0.44	6.2	12.0
205.5	24	0.141	0.15	6.5	15.0
205.6	23	0.343	1.28	8.1	16.2
205.7	20	0.286	0.61	7.9	15.6
205.8	26	0.114	1.12	5.3	12.5
205.9	35	0.342	1.06	7.5	11.2
206.0	12	0.118	1.3	9.5	15.0
206.1	32	0.324	0.79	5.0	17.1
206.2	40	0.396	0.11	5.1	16.8
206.3	34	0.239	0.07	6.1	19.4
206.4	11	0.109	0.49	7.7	18.9
206.5	36	0.346	1.26	7.9	19.1
206.6	38	0.133	1.27	8.5	11.8
206.7	16	0.186	0.84	9.1	14.4
206.8	38	0.157	0.91	5.6	17.5
206.9	19	0.187	1.42	5.3	11.6
207.0	11	0.225	0.93	10.0	12.2
207.1	13	0.139	1.07	7.5	16.4
207.2	11	0.237	1.06	9.3	16.2
207.3	21	0.385	0.09	6.6	16.5
207.4	20	0.237	1.0	6.0	10.5
207.5	21	0.357	0.85	7.8	18.9
207.6	18	0.292	0.77	7.8	14.5
207.7	28	0.144	0.21	8.1	13.4
207.8	15	0.357	0.34	6.5	14.1
207.9	11	0.128	1.25	9.8	16.3
208.0	25	0.354	0.77	8.8	14.2
208.1	26	0.268	0.76	5.4	15.5
208.2	39	0.19	0.91	8.5	14.2
208.3	25	0.328	0.98	6.3	16.2
208.4	16	0.261	0.45	8.7	17.5
208.5	40	0.206	1.39	5.0	16.3
208.6	23	0.397	1.23	9.6	13.9
208.7	34	0.301	0.67	5.7	12.7
208.8	16	0.147	0.37	5.8	12.9
208.9	20	0.258	1.13	6.4	11.1
209.0	22	0.237	0.23	7.8	13.6
209.1	17	0.17	0.05	5.6	13.8
209.2	37	0.384	0.65	8.4	19.3
209.3	26	0.294	0.28	9.8	10.7
209.4	23	0.359	0.37	6.9	10.9
209.5	31	0.307	0.9	6.5	10.8
209.6	10	0.219	1.06	7.3	14.1
209.7	29	0.138	0.88	8.8	19.6
209.8	36	0.234	1.47	8.7	15.1
209.9	37	0.18	1.23	6.6	19.4
210.0	17	0.178	0.72	9.7	15.6
210.1	23	0.106	0.28	9.0	19.6
210.2	24	0.212	0.07	8.2	15.7
210.3	23	0.311	0.7	5.1	11.5
210.4	31	0.355	1.13	6.7	10.1
210.5	37	0.125	1.17	5.6	10.0
210.6	25	0.362	1.48	5.6	12.9
210.7	20	0.117	1.04	6.2	13.1
210.8	36	0.357	0.96	8.0	12.8
210.9	32	0.102	0.29	6.0	12.0
211.0	29	0.204	0.5	8.2	10.5
211.1	13	0.341	0.4	7.2	19.8
211.2	33	0.252	0.59	9.1	10.3
211.3	23	0.27	0.36	7.7	19.4
211.4	17	0.231	0.99	10.0	11.5
211.5	22	0.376	1.01	6.3	13.9
211.6	14	0.284	0.05	7.3	12.1
211.7	27	0.39	0.13	9.2	14.7
211.8	30	0.226	0.78	6.6	15.9
211.9	37	0.336	1.48	6.3	19.4
212.0	18	0.393	0.04	8.3	19.8
212.1	11	0.103	1.27	9.8	19.8
212.2	37	0.362	0.63	8.8	14.5
212.3	34	0.316	0.93	9.4	15.5
212.4	16	0.328	1.0	7.6	10.8
212.5	35	0.162	1.0	9.6	16.8
212.6	23	0.255	1.26	7.5	16.6
212.7	29	0.353	1.21	8.3	16.4
212.8	26	0.302	0.81	7.0	19.3
212.9	22	0.329	1.22	7.4	15.6
213.0	27	0.395	0.45	7.8	15.1
213.1	13	0.383	0.71	9.7	19.9
213.2	17	0.329	0.79	6.9	16.5
213.3	27	0.365	0.26	5.6	13.3
213.4	30	0.2	0.63	5.8	16.0
213.5	22	0.274	1.06	7.6	12.6
213.6	33	0.328	0.23	8.4	18.1
213.7	28	0.143	0.42	5.9	14.2
213.8	32	0.205	0.76	6.8	12.2
213.9	31	0.326	1.07	6.1	14.3
214.0	14	0.171	1.26	7.5	18.3
214.1	20	0.289	0.54	7.2	14.5
214.2	13	0.205	1.13	7.3	17.4
214.3	28	0.157	1.05	6.1	14.1
214.4	39	0.107	1.38	9.4	18.9
214.5	37	0.281	1.43	5.1	18.5
214.6	31	0.127	1.42	6.3	16.5
214.7	30	0.154	1.31	7.6	17.5
214.8	29	0.186	0.85	7.4	19.2
214.9	31	0.195	1.22	7.7	11.7
215.0	37	0.274	0.38	5.7	12.8
215.1	18	0.244	0.87	8.3	17.9
215.2	16	0.201	1.29	6.9	16.5
215.3	40	0.207	0.29	5.9	15.9
215.4	32	0.311	1.29	5.9	11.7
215.5	21	0.385	0.03	8.2	15.1
215.6	23	0.224	0.89	9.1	11.7
215.7	37	0.166	1.14	5.8	17.3
215.8	36	0.228	0.28	6.6	14.7
215.9	40	0.311	1.42	8.7	19.6
216.0	29	0.162	0.48	8.7	20.0
216.1	29	0.39	0.71	5.5	17.4
216.2	21	0.295	0.65	6.4	12.8
216.3	26	0.374	1.26	9.9	16.9
216.4	18	0.145	1.0	7.8	16.0
216.5	21	0.159	0.66	8.6	12.5
216.6	39	0.285	0.2	6.4	12.4
216.7	35	0.182	1.32	8.8	18.6
216.8	10	0.245	1.32	9.3	15.0
216.9	11	0.252	0.77	6.4	18.6
217.0	18	0.147	0.47	5.3	13.9
217.1	14	0.146	0.34	6.1	10.1
217.2	14	0.242	0.23	8.3	10.1
217.3	20	0.296	0.69	9.4	18.8
217.4	32	0.385	0.4	6.5	12.6
217.5	18	0.167	0.69	9.8	14.3
217.6	18	0.2	0.63	8.4	11.7
217.7	35	0.207	0.46	9.6	18.9
217.8	40	0.115	0.45	6.4	18.3
217.9	12	0.219	0.22	8.4	17.6
218.0	32	0.224	0.32	8.7	17.5
218.1	35	0.295	1.06	9.4	11.5
218.2	29	0.321	0.46	7.7	15.5
218.3	17	0.134	0.25	8.1	10.8
218.4	31	0.203	1.48	9.1	14.1
218.5	13	0.161	0.74	7.2	14.4
218.6	17	0.125	1.07	7.9	13.6
218.7	32	0.204	0.15	9.1	16.9
218.8	34	0.396	1.08	5.2	14.3
218.9	11	0.102	0.59	5.4	15.7
219.0	29	0.239	1.21	9.9	12.0
219.1	10	0.299	0.59	8.2	10.1
219.2	33	0.253	0.64	9.9	14.8
219.3	19	0.306	1.17	5.2	14.0
219.4	14	0.143	0.74	7.7	19.2
219.5	15	0.313	0.71	5.4	15.1
219.6	12	0.34	0.6	7.8	15.8
219.7	22	0.388	0.67	5.0	14.8
219.8	22	0.241	1.24	10.0	17.5
219.9	17	0.247	0.71	8.9	13.2
220.0	33	0.398	1.0	6.6	10.5
220.1	37	0.363	0.64	5.4	12.4
220.2	20	0.136	1.27	8.9	19.1
220.3	14	0.196	0.17	7.2	18.2
220.4	18	0.16	1.11	7.6	19.8
220.5	11	0.182	0.31	8.8	14.1
220.6	39	0.198	0.56	6.9	18.5
220.7	17	0.232	0.17	8.9	13.3
220.8	16	0.369	0.44	7.2	12.7
220.9	31	0.134	1.49	8.3	17.0
221.0	24	0.391	0.43	6.8	13.1
221.1	18	0.26	1.15	7.8	14.4
221.2	37	0.374	0.29	8.5	11.7
221.3	38	0.265	1.36	6.7	11.9
221.4	19	0.224	1.03	8.8	16.7
221.5	16	0.258	1.47	6.5	19.7
221.6	39	0.192	0.22	8.4	19.1
221.7	19	0.4	0.77	9.7	13.0
221.8	15	0.123	0.61	6.4	10.6
221.9	29	0.328	1.16	8.2	11.0
222.0	11	0.33	0.87	6.8	17.9
222.1	28	0.314	0.32	8.7	13.0
222.2	15	0.322	0.05	9.7	14.6
222.3	30	0.339	1.37	9.9	14.2
222.4	32	0.21	1.45	8.6	12.4
222.5	20	0.128	1.47	9.4	18.2
222.6	37	0.101	0.16	7.8	17.5
222.7	19	0.163	1.29	6.7	12.8
222.8	26	0.246	1.39	7.3	10.7
222.9	15	0.381	1.5	7.0	15.0
223.0	17	0.168	0.04	5.9	12.7
223.1	19	0.251	0.01	8.2	18.6
223.2	23	0.159	0.48	6.0	10.9
223.3	30	0.145	1.04	7.8	13.9
223.4	13	0.306	0.4	5.5	18.3
223.5	35	0.179	0.32	6.6	10.3
223.6	13	0.105	0.69	9.6	10.8
223.7	26	0.331	1.37	5.7	15.5
223.8	38	0.268	0.03	6.6	19.3
223.9	11	0.223	1.48	8.3	20.0
224.0	13	0.163	1.3	6.8	15.5
224.1	35	0.232	1.44	9.5	19.2
224.2	26	0.119	1.07	8.1	17.0
224.3	14	0.176	1.32	8.4	17.4
224.4	27	0.257	0.06	8.3	19.7
224.5	12	0.318	0.22	5.1	13.1
224.6	16	0.152	1.04	9.0	11.5
224.7	25	0.173	0.76	5.2	15.9
224.8	37	0.173	1.08	5.5	14.7
224.9	13	0.106	1.05	6.8	16.5
225.0	36	0.162	1.27	9.3	11.0
225.1	23	0.152	0.52	8.3	13.0
225.2	13	0.239	0.04	8.5	14.8
225.3	12	0.375	1.26	7.8	10.8
225.4	36	0.231	0.81	6.0	15.2
225.5	29	0.189	1.44	7.1	15.9
225.6	23	0.263	1.3	8.2	14.8
225.7	29	0.16	0.86	5.5	15.7
225.8	16	0.143	0.69	8.2	19.2
225.9	40	0.314	0.33	6.2	15.4
226.0	40	0.354	1.29	7.4	18.7
226.1	22	0.33	0.35	8.3	19.4
226.2	32	0.161	0.35	9.8	17.2
226.3	10	0.219	0.35	5.1	16.6
226.4	37	0.2	1.38	7.9	17.9
226.5	16	0.195	1.35	6.1	11.9
226.6	36	0.345	0.39	7.6	17.5
226.7	32	0.345	0.32	6.1	15.3
226.8	27	0.342	1.18	8.3	10.3
226.9	38	0.305	1.21	7.5	14.9
227.0	37	0.393	1.04	6.5	12.2
227.1	27	0.244	0.15	5.8	19.7
227.2	27	0.12	0.5	7.8	15.0
227.3	29	0.19	0.54	5.2	16.5
227.4	36	0.192	1.09	9.1	13.9
227.5	14	0.126	1.08	9.1	12.1
227.6	18	0.224	0.16	8.0	10.4
227.7	29	0.154	0.04	6.9	17.7
227.8	35	0.342	0.64	5.2	16.4
227.9	22	0.376	0.95	5.7	16.1
228.0	34	0.265	0.8	8.3	12.3
228.1	11	0.133	1.15	9.3	17.5
228.2	23	0.106	0.73	6.3	15.2
228.3	12	0.332	0.36	8.2	19.2
228.4	32	0.313	0.53	5.2	12.3
228.5	30	0.32	0.79	7.8	16.7
228.6	36	0.144	0.22	5.5	14.8
228.7	13	0.11	1.33	10.0	19.5
228.8	34	0.377	0.26	6.7	14.3
228.9	37	0.201	0.45	8.4	17.7
229.0	28	0.13	1.18	6.0	12.4
229.1	10	0.104	0.39	8.0	12.1
229.2	40	0.164	0.72	6.5	10.0
229.3	14	0.364	0.37	7.4	12.0
229.4	33	0.303	0.58	7.2	17.7
229.5	10	0.23	0.13	7.9	15.3
229.6	23	0.398	0.11	8.0	11.0
229.7	34	0.19	0.64	7.6	10.4
229.8	40	0.111	0.73	5.1	19.3
229.9	25	0.321	0.89	6.8	18.1
230.0	24	0.1	1.24	5.0	15.2
230.1	21	0.269	1.49	9.5	16.7
230.2	12	0.126	1.11	9.6	18.6
230.3	16	0.246	1.35	6.6	15.3
230.4	22	0.393	0.59	6.9	15.8
230.5	34	0.26	0.78	7.7	15.4
230.6	21	0.307	0.05	5.4	16.3
230.7	40	0.266	0.02	5.1	18.6
230.8	37	0.267	1.14	7.7	12.0
230.9	40	0.355	0.23	5.5	17.5
231.0	14	0.181	0.99	7.0	13.8
231.1	22	0.134	1.12	7.5	19.0
231.2	36	0.261	0.43	5.1	12.9
231.3	19	0.23	0.04	9.6	17.9
231.4	31	0.231	0.34	9.6	12.9
231.5	27	0.316	1.09	5.3	16.2
231.6	12	0.201	0.46	6.9	15.1
231.7	28	0.12	1.01	6.4	12.0
231.8	17	0.151	1.38	5.0	17.4
231.9	35	0.109	0.56	8.5	11.4
232.0	23	0.297	0.37	6.4	17.4
232.1	12	0.28	0.47	8.8	14.9
232.2	26	0.219	1.38	8.1	19.4
232.3	13	0.335	0.68	5.3	19.6
232.4	13	0.35	0.07	6.2	12.5
232.5	10	0.276	1.08	6.6	15.2
232.6	16	0.273	0.84	5.5	16.0
232.7	32	0.186	0.79	5.5	15.8
232.8	23	0.365	0.02	5.9	15.1
232.9	14	0.213	1.48	9.4	10.6
233.0	36	0.119	0.46	7.9	11.7
233.1	35	0.315	1.21	8.1	14.6
233.2	37	0.105	0.93	8.9	12.7
233.3	24	0.154	0.62	8.4	19.0
233.4	33	0.135	0.08	9.7	13.9
233.5	24	0.111	0.4	9.2	12.0
233.6	12	0.258	0.86	9.9	13.4
233.7	26	0.134	0.63	9.3	15.6
233.8	23	0.167	0.42	7.0	14.1
233.9	31	0.273	0.38	7.3	16.5
234.0	17	0.114	0.31	9.4	15.7
234.1	21	0.169	0.45	5.6	15.8
234.2	37	0.182	0.19	7.7	16.0
234.3	22	0.291	1.3	8.8	19.9
234.4	12	0.347	0.27	5.6	17.2
234.5	14	0.386	1.3	9.9	18.6
234.6	31	0.265	0.56	8.0	19.6
234.7	40	0.368	1.04	5.3	12.6
234.8	30	0.211	0.12	9.0	13.1
234.9	20	0.174	0.36	9.9	10.9
235.0	22	0.186	0.72	5.5	18.5
235.1	13	0.397	1.44	6.2	16.7
235.2	27	0.114	0.37	6.2	12.7
235.3	26	0.262	0.84	5.2	19.2
235.4	12	0.281	1.38	5.4	14.7
235.5	40	0.11	0.99	9.8	10.8
235.6	13	0.171	0.16	5.4	16.9
235.7	23	0.273	1.09	7.1	11.0
235.8	25	0.185	0.62	6.1	11.8
235.9	14	0.101	0.58	7.8	19.7
236.0	15	0.158	0.59	5.4	11.4
236.1	15	0.204	0.98	6.0	13.4
236.2	11	0.358	0.25	9.3	14.5
236.3	24	0.305	0.39	5.1	11.9
236.4	23	0.129	0.36	7.3	15.0
236.5	39	0.32	0.73	9.4	17.0
236.6	22	0.335	0.85	7.1	19.2
236.7	16	0.4	0.49	9.2	17.3
236.8	31	0.37	0.26	6.5	10.5
236.9	19	0.132	0.21	6.9	13.9
237.0	19	0.221	0.96	5.8	13.2
237.1	29	0.312	0.47	6.4	16.2
237.2	36	0.201	1.4	9.9	14.7
237.3	19	0.276	0.64	7.3	16.5
237.4	27	0.273	0.23	8.4	11.4
237.5	27	0.122	0.91	8.6	14.9
237.6	10	0.248	0.74	6.3	19.9
237.7	37	0.177	0.05	7.2	17.6
237.8	10	0.293	1.45	6.3	19.6
237.9	26	0.345	0.21	6.2	10.2
238.0	23	0.273	0.03	5.7	12.2
238.1	27	0.301	0.41	6.0	16.3
238.2	24	0.393	0.68	5.0	15.4
238.3	38	0.102	0.65	8.5	19.7
238.4	38	0.234	0.83	6.1	15.7
238.5	26	0.223	0.66	6.6	16.8
238.6	28	0.296	1.36	8.2	12.6
238.7	27	0.237	1.16	7.0	17.7
238.8	14	0.275	0.69	7.7	15.0
238.9	13	0.351	1.46	5.2	10.3
239.0	36	0.107	0.59	9.5	18.4
239.1	29	0.371	0.53	6.0	15.5
239.2	18	0.267	0.13	6.3	14.4
239.3	26	0.159	0.5	7.8	14.0
239.4	17	0.203	0.01	7.4	10.9
239.5	17	0.327	0.26	6.3	17.6
239.6	19	0.212	0.25	6.9	13.4
239.7	17	0.242	0.83	6.8	14.9
239.8	22	0.314	0.22	5.0	10.2
239.9	36	0.219	0.86	9.0	17.7
240.0	40	0.257	1.43	7.9	16.4
240.1	25	0.183	1.48	7.2	17.2
240.2	23	0.37	1.42	9.8	11.0
240.3	20	0.174	0.78	5.4	16.3
240.4	10	0.314	0.75	9.0	18.3
240.5	36	0.349	0.14	6.1	18.7
240.6	19	0.224	1.47	8.4	20.0
240.7	27	0.301	0.81	6.3	19.9
240.8	34	0.317	0.89	5.1	13.7
240.9	11	0.233	1.29	6.2	18.7
241.0	17	0.286	0.39	9.2	19.8
241.1	35	0.168	1.25	7.4	14.9
241.2	32	0.136	0.06	6.4	18.1
241.3	11	0.232	1.3	9.6	19.6
241.4	39	0.223	1.29	5.8	12.0
241.5	24	0.234	0.29	6.5	12.9
241.6	39	0.344	0.12	9.0	13.3
241.7	25	0.176	0.94	8.3	15.8
241.8	26	0.382	1.1	7.2	11.5
241.9	25	0.101	1.41	5.6	11.0
242.0	39	0.371	0.86	7.0	17.1
242.1	33	0.172	1.5	7.7	14.4
242.2	36	0.308	1.09	5.5	10.4
242.3	38	0.109	0.15	7.9	16.5
242.4	21	0.109	0.82	5.1	18.4
242.5	11	0.216	0.65	5.3	17.1
242.6	13	0.118	1.25	9.3	15.0
242.7	31	0.215	0.03	7.6	15.8
242.8	11	0.305	1.13	8.9	11.1
242.9	27	0.241	1.41	9.3	13.2
243.0	11	0.155	1.19	7.8	20.0
243.1	19	0.294	1.11	6.8	10.6
243.2	28	0.289	1.28	9.1	14.4
243.3	23	0.313	0.43	7.1	17.8
243.4	23	0.197	0.53	9.5	10.8
243.5	33	0.378	0.25	6.0	19.7
243.6	33	0.239	0.8	5.7	10.2
243.7	10	0.152	0.58	7.4	19.8
243.8	18	0.29	1.23	6.9	18.0
243.9	16	0.358	0.71	6.3	11.7
244.0	16	0.19	1.37	5.1	13.6
244.1	21	0.264	0.21	9.5	13.1
244.2	21	0.267	1.11	9.9	12.0
244.3	24	0.348	0.85	9.9	19.8
244.4	31	0.217	1.28	8.9	18.1
244.5	23	0.105	1.26	5.8	17.2
244.6	11	0.121	0.28	8.9	17.7
244.7	10	0.349	1.26	8.2	18.8
244.8	24	0.273	0.98	6.8	11.9
244.9	22	0.278	1.49	8.0	18.7
245.0	22	0.23	0.06	8.4	16.1
245.1	14	0.395	1.44	6.2	12.3
245.2	35	0.217	0.23	6.4	15.3
245.3	11	0.272	0.98	6.2	19.3
245.4	12	0.29	1.46	9.7	15.2
245.5	13	0.379	0.7	5.2	19.2
245.6	16	0.332	0.49	9.1	17.9
245.7	18	0.205	0.11	9.2	12.9
245.8	29	0.243	0.19	5.4	18.3
245.9	39	0.394	0.38	7.0	15.7
246.0	29	0.286	0.18	9.5	11.7
246.1	28	0.282	0.7	9.2	11.5
246.2	16	0.225	0.48	9.2	14.4
246.3	23	0.223	1.01	6.8	15.1
246.4	36	0.252	1.39	5.1	10.1
246.5	12	0.301	0.38	5.7	10.9
246.6	18	0.337	0.21	8.0	10.4
246.7	33	0.208	0.65	9.0	16.5
246.8	17	0.362	0.67	5.3	12.5
246.9	15	0.25	1.02	7.0	11.6
247.0	19	0.135	0.89	5.8	13.9
247.1	28	0.186	0.89	9.7	10.5
247.2	34	0.249	0.38	5.0	18.4
247.3	21	0.23	1.49	6.6	16.4
247.4	37	0.202	0.47	9.2	12.4
247.5	30	0.189	0.12	9.9	14.3
247.6	20	0.386	1.41	5.4	14.4
247.7	20	0.105	0.41	5.9	11.4
247.8	17	0.303	0.76	5.9	16.2
247.9	24	0.347	0.02	6.6	15.1
248.0	17	0.119	1.11	5.9	15.8
248.1	16	0.172	0.86	9.6	17.4
248.2	16	0.109	1.15	5.2	16.6
248.3	10	0.205	0.03	8.5	18.9
248.4	18	0.373	1.17	5.7	13.9
248.5	22	0.336	0.1	5.2	18.4
248.6	32	0.316	0.32	5.0	15.6
248.7	26	0.287	0.3	7.3	13.0
248.8	27	0.227	0.63	8.5	15.2
248.9	29	0.177	1.34	7.3	14.8
249.0	29	0.229	1.3	7.7	16.9
249.1	40	0.183	0.06	5.7	19.1
249.2	39	0.166	0.98	5.4	19.9
249.3	28	0.136	0.42	6.7	16.5
249.4	25	0.313	0.08	9.7	16.3
249.5	31	0.175	0.99	9.5	18.3
249.6	14	0.367	1.14	5.5	15.6
249.7	23	0.252	0.2	8.3	17.3
249.8	17	0.374	0.26	8.0	17.4
249.9	34	0.12	0.49	6.6	19.4
250.0	22	0.277	0.25	6.6	18.3
250.1	34	0.351	1.06	7.6	14.2
250.2	12	0.31	0.08	9.4	16.0
250.3	23	0.321	0.54	9.3	15.9
250.4	36	0.258	0.85	6.9	13.6
250.5	19	0.282	0.75	5.7	16.2
250.6	26	0.333	0.45	9.8	13.9
250.7	38	0.139	0.02	5.1	17.3
250.8	21	0.257	0.26	7.8	16.0
250.9	26	0.258	0.25	9.2	18.8
251.0	25	0.333	0.07	6.8	12.7
251.1	36	0.104	0.08	5.4	12.7
251.2	30	0.384	0.99	5.4	16.5
251.3	35	0.293	0.79	7.9	10.6
251.4	19	0.365	0.2	5.8	13.9
251.5	39	0.238	1.13	9.1	18.6
251.6	28	0.15	1.32	6.6	10.4
251.7	39	0.317	0.75	5.2	14.0
251.8	28	0.313	0.65	5.2	19.1
251.9	14	0.196	1.31	5.0	10.2
252.0	13	0.286	0.44	9.0	14.1
252.1	36	0.141	0.85	6.2	17.7
252.2	40	0.396	0.57	6.8	17.8
252.3	36	0.352	0.4	8.0	18.5
252.4	24	0.226	1.0	8.3	19.1
252.5	36	0.209	0.15	5.0	17.4
252.6	16	0.244	0.85	9.7	18.1
252.7	40	0.203	0.49	6.0	14.7
252.8	13	0.309	1.06	7.1	15.9
252.9	23	0.369	0.19	6.7	16.1
